timestamp,cpu_percent,memory_percent,process_count,network_connections,established_connections,disk_read_mb,disk_write_mb,unique_process_names
2026-08-30T11:53:22.045803,4.2,37.4,335,78,8,0.0,0.734,279
2026-08-30T11:53:26.075184,4.4,37.4,335,78,8,0.0,0.398,279
2026-08-30T11:53:30.103716,6.9,37.4,335,77,8,0.0,0.0,279
2026-08-30T11:53:34.135874,7.2,37.4,335,78,8,0.0,0.555,279
2026-08-30T11:53:38.164803,4.3,37.5,335,79,8,0.0,1.207,279
2026-08-30T11:53:42.183782,4.2,37.5,335,79,8,0.0,0.141,279
2026-08-30T11:53:46.207295,4.1,37.5,337,79,8,0.0,1.684,281
2026-08-30T11:53:50.237876,4.9,37.5,335,79,8,0.0,0.0,279
2026-08-30T12:00:48.046017,4.8,38.8,346,89,7,0,0,284
2026-08-30T12:00:52.075193,6.9,38.8,346,86,7,0.0,1.121,284
2026-08-30T12:00:56.096958,9.2,39.5,346,89,7,0.023,0.258,284
2026-08-30T12:01:00.120436,11.5,39.2,346,90,8,1.305,0.332,284
2026-08-30T12:01:04.152246,7.0,39.5,346,86,8,0.0,2.457,284
2026-08-30T12:01:08.175657,9.0,39.3,344,84,8,0.191,0.23,284
2026-08-30T12:01:12.200429,6.8,39.3,341,84,8,0.0,0.344,284
2026-08-30T12:01:16.217519,10.1,39.4,341,82,8,0.004,0.164,284
2026-08-30T12:01:20.243190,7.0,39.4,341,83,8,0.254,1.387,284
2026-08-30T12:01:24.268328,6.7,39.4,341,83,8,0.0,0.254,284
2026-08-30T12:01:28.294568,6.1,39.5,341,81,8,0.16,0.68,284
2026-08-30T12:01:32.326347,6.7,39.4,341,81,8,0.0,0.336,284
2026-08-30T12:01:36.351628,5.2,39.5,342,77,7,0.0,1.055,285
2026-08-30T12:01:40.376142,7.9,39.5,342,79,7,0.004,0.191,285
2026-08-30T12:01:44.393116,8.1,39.6,342,80,7,0.086,0.633,285
2026-08-30T12:01:48.423457,11.6,40.1,342,79,7,0.512,0.496,285
2026-08-30T12:01:52.461785,17.2,39.4,346,85,9,0.02,0.621,285
2026-08-30T12:01:56.478964,18.1,39.9,346,86,9,0.0,0.859,285
2026-08-30T12:02:00.513130,16.1,40.1,346,86,9,0.18,1.734,285
2026-08-30T12:02:04.545958,13.6,40.4,347,87,9,0.113,3.453,286
2026-08-30T12:02:08.581876,12.3,39.8,347,88,9,0.0,1.285,286
2026-08-30T12:02:12.606190,11.9,39.3,347,85,9,0.0,0.406,286
2026-08-30T12:02:16.640405,11.7,39.2,347,88,9,0.0,0.625,286
2026-08-30T12:02:20.673389,15.9,39.3,347,88,9,0.031,2.418,286
2026-08-30T12:02:24.693064,13.6,39.1,347,86,9,0.0,0.004,286
2026-08-30T12:02:28.726321,12.7,39.0,344,87,9,0.0,0.809,286
2026-08-30T12:02:32.762747,10.6,39.0,344,84,9,0.0,0.902,286
2026-08-30T12:02:36.798270,9.8,38.9,344,85,9,0.0,0.543,286
2026-08-30T12:02:40.831421,11.9,39.0,344,85,9,0.0,0.176,286
